문장,대분류,중분류,소분류
꺼리는 마음으로,부정,,
꺼리다,부정,,
꺼리어,부정,,
꺼리어 피하거나,부정,,
꺼린다,부정,,
꺼림,부정,,
꺼림칙하고,부정,,
꺼림칙하여,부정,,
꺼림칙해,부정,,
꺼림칙해 보일,부정,,
꺼먹대다,부정,,
꺼부는,부정,,
꺼부는 모양,부정,,
꺼부러져,부정,,
꺼부러져 보이게,부정,,
꺼불거리고,부정,,
꺼불대다,부정,,
꺼칠하게,부정,,
꺼칠하게 일어선,부정,,
꺼칠하다,부정,,
꺽어 약해지게,부정,,
꺾어 누르다,부정,,
꺾이다,부정,,
꺾이어 무너지다,부정,,
꺾이어 약해지다,부정,,
꺾임,부정,,
껄끄러운,부정,,
껄끄러운 모양,부정,,
껄끄럽게 뜨끔거리는,부정,,
껄렁껄렁한,부정,,
껄렁껄렁한 사람,부정,,
껄렁껄렁한 사람들의,부정,,
꼬락서니,부정,,
꼬물거리는,부정,,
꼬물거리는 모양,부정,,
꼬이거나,부정,,
꼬이거나 틀어지다,부정,,
꼬집거나,부정,,
꼬집히는,부정,,
꼬집히는 것처럼,부정,,
꼭 맞다,긍정,,
꼭 알맞다,긍정,,
꼭 어울리고,긍정,,
꼴사나운,부정,,
꼴사납게,부정,,
꼴사납게 우는,부정,,
꼴사납다,부정,,
꼼꼼하게,긍정,,
꼼꼼하게 자세히,긍정,,
꼼꼼하고,긍정,,
꼼꼼하고 자상하게,긍정,,
꼼꼼하다,긍정,,
꼼꼼하지 않아,부정,,
꼼꼼한,긍정,,
꼿꼿하며,긍정,,
꼿꼿하며 건장하다,긍정,,
꼿꼿하며 건장한,긍정,,
꽁알대다,부정,,
꽁하다,부정,,
꽃이 보드랍고,긍정,,
꽉 막힌,부정,,
꽤 거칠게,부정,,
꽤 귀여운,긍정,,
꽤 더럽고,부정,,
꽤 따뜻하고,긍정,,
꽤 따뜻하다,긍정,,
꽤 뜨뜻하고,긍정,,
꽤 사납게,부정,,
꽤 스산하고,부정,,
꽤 썰렁한,부정,,
꽤 엉성하고,부정,,
꽤 염치없이,부정,,
꽤 저리다,부정,,
꽤 저린,부정,,
꽤 흥분되고,긍정,,
꽥꽥거리는 사람을,부정,,
꾀 거칠게,부정,,
꾀거나,부정,,
꾀를 부려,부정,,
꾀를 부리거나,부정,,
꾀를 부리느라고,부정,,
꾀만 부리다,부정,,
꾸며서 전하다,부정,,
꾸며서 전함,부정,,
꾸며서 하는,부정,,
꾸물거리는,부정,,
꾸물거리는 모양,부정,,
꾸물거리다,부정,,
꾸물꾸물하다,부정,,
꾸민,긍정,,
꾸밈을 화려하게,긍정,,
꾸밈이 없음,긍정,,
꾸밈이 없이,긍정,,
꾸준하게,긍정,,
꾸준하게 열심히,긍정,,
꾸준하게 일하거나,긍정,,
꾸준하게 행동하다,긍정,,
꾸준한,긍정,,
꾸준한 데가,긍정,,
꾸준함,긍정,,
꾸준히,긍정,,
꾸중,부정,,
꾸중 따위의,부정,,
꾸중을,부정,,
꾸중을 듣거나,부정,,
꾸중을 듣고,부정,,
꾸중하다,부정,,
꾸지람,부정,,
꾸지람을,부정,,
꾸지람을 듣거나,부정,,
꾸지람하다,부정,,
꾸짖거나,부정,,
꾸짖거나 나무라며,부정,,
꾸짖는,부정,,
꾸짖는 말로,부정,,
꾸짖다,부정,,
꾸짖어,부정,,
꾸짖어 혼쭐을,부정,,
꾸짖음,부정,,
꿀잼,긍정,,
꿉신대다,부정,,
꿋꿋하다,긍정,,
꿋꿋한,긍정,,
꿋꿋한 모양,긍정,,
끈기,긍정,,
끈기 있는,긍정,,
끈기가 있는,긍정,,
끊고,부정,,
끊고 갈라서다,부정,,
끊어 버리다,부정,,
끊어 버림을,부정,,
끌다,긍정,,
끌리도록,긍정,,
끔살,부정,,
끔직하고,부정,,
끔직하고 절망적이다,부정,,
끔찍하게,부정,,
끔찍하다,부정,,
끔찍한,부정,,
끔찍한 느낌,부정,,
끔찍한 느낌이,부정,,
끔찍함,부정,,
끝까지 변함없이,긍정,,
끝나는 사랑,부정,,
끝내 패가망신한다는,부정,,
끝내지 못하고,부정,,
끝내지 못한,부정,,
끝장이 나다,부정,,
끼깅대다,부정,,
끼쳐서 미안하다,부정,,
끼치도록 무섭고,부정,,
낄끼빠빠,부정,,
낑낑대다,부정,,
ㄳ,긍정,,
ㄴㅇㅈ,부정,,
나가자빠지는,부정,,
나가자빠지는 모양,부정,,
나고 아프며,부정,,
나긋나긋이,긍정,,
나라가 태평한,긍정,,
나릿나릿,부정,,
나무라기나 하는,부정,,
나무라다,부정,,
나무라며,부정,,
나무라며 못마땅하게,부정,,
나무람을,부정,,
나무람을 이르는,부정,,
나불거리며,부정,,
나불거리며 까불다,부정,,
나불나불,부정,,
나불나불하다,부정,,
나빠지게,부정,,
나빠지게 하다,부정,,
나빠지다,부정,,
나빠지도록,부정,,
나빠진,부정,,
나빠진 모양,부정,,
나쁘거나,부정,,
나쁘거나 궂게,부정,,
나쁘거나 궂다,부정,,
나쁘게,부정,,
나쁘게 되다,부정,,
나쁘게 만들다,부정,,
나쁘게 말하여,부정,,
나쁘고,부정,,
나쁘다,부정,,
나쁘지 않고,긍정,,
나쁜,부정,,
나쁜 기운을,부정,,
나쁜 놈,부정,,
나쁜 말로,부정,,
나쁜 버릇,부정,,
나쁜 생각을,부정,,
나쁜 일,부정,,
나쁜 일을,부정,,
나쁜 짓을,부정,,
나쁜 징조의,부정,,
나쁜 처지로,부정,,
나쁜 흉계,부정,,
나쁜놈,부정,,
나쁠,부정,,
나쁠 정도로,부정,,
나서 틀어지다,부정,,
나서는 힘,긍정,,
나아가게,긍정,,
나아가게 하다,긍정,,
나아가지 못하고,부정,,
나아지게,긍정,,
나아지게 발전하다,긍정,,
나아지다,긍정,,
나오는 기침,부정,,
나오는 한숨이나,부정,,
나타나는 불쾌한,부정,,
나태하게,부정,,
나태하다,부정,,
나태한,부정,,
낙담,부정,,
낙담하다,부정,,
낙망,부정,,
낙망하다,부정,,
낙심,부정,,
낙심되다,부정,,
낙심하다,부정,,
난리나다,긍정,,
난잡스러운,부정,,
난잡스러운 짓,부정,,
난잡하다,부정,,
난잡한,부정,,
난잡한 상태가,부정,,
난처하거나,부정,,
난처하고,부정,,
난폭하거나,부정,,
난폭하거나 주책없는,부정,,
난폭하다,부정,,
난폭한,부정,,
난폭한 행위로,부정,,
난하다,부정,,
날뛰다,긍정,,
날뜀,긍정,,
날씨가 맑거나,긍정,,
날씨가 화창하여,긍정,,
날씬하다,긍정,,
날씬한,긍정,,
날이 좋아지다,긍정,,
날조하여,부정,,
날카로운 말투로,부정,,
날카롭고 격하게,부정,,
낡고,부정,,
낡다,부정,,
낡아,부정,,
낡아 버리다,부정,,
낡아지다,부정,,
낡은,부정,,
낡은 느낌이나,부정,,
낡은 티를,부정,,
남기거나 버리다,부정,,
남달리,긍정,,
남달리 뛰어난,긍정,,
남달리 좋아하고,긍정,,
남루하게,부정,,
남루하게 입다,부정,,
남몰래,부정,,
남몰래 슬쩍,부정,,
남보다 높은,긍정,,
남보다 뒤떨어지거나,부정,,
남보다 뛰어난,긍정,,
남보다 앞서서,긍정,,
남보다 월등히,긍정,,
남부끄러이,부정,,
남부끄럽다,부정,,
남부럽다,부정,,
남사스럽다,부정,,
남아 서운하다,부정,,
남에게 넘기다,부정,,
남에게 따돌림을,부정,,
남에게 미루다,부정,,
남에게 베풀어서,긍정,,
남에게 복종하면서,부정,,
남에게 씌우려던,부정,,
남에게 아첨함을,부정,,
남에게 억지로,부정,,
남에게 칭찬을,긍정,,
남에게 폐를,부정,,
남용,부정,,
남용하다,부정,,
남을 건드려,부정,,
남을 곯려,부정,,
남을 곯리거나,부정,,
남을 괴롭히는,부정,,
남을 굴복시킴,부정,,
남을 귀찮게,부정,,
남을 깎아내리기,부정,,
남을 꾀거나,부정,,
남을 나무람을,부정,,
남을 낮추어,부정,,
남을 낮추어 보듯이,부정,,
남을 대접하는,긍정,,
남을 도와주다,긍정,,
남을 멸시하거나,부정,,
남을 못살게,부정,,
남을 부추기어,부정,,
남을 비방하거나,부정,,
남을 사랑하는,긍정,,
남을 성가시게,부정,,
남을 속여,부정,,
남을 속이거나,부정,,
남을 속이다,부정,,
남을 속이려는,부정,,
남을 시기하는,부정,,
남을 억누르다,부정,,
남을 업신여기는,부정,,
남을 웃기는,긍정,,
남을 웃기려고,긍정,,
남을 이해하고,긍정,,
남을 조롱하거나,부정,,
남을 해치려다가,부정,,
남을 헐뜯고,부정,,
남을 헐뜯다,부정,,
남을 헐뜯어,부정,,
남을 헐뜯으려고,부정,,
남을 헐뜯음,부정,,
남의 결함을,부정,,
남의 어리석은,부정,,
남의 잘못이나,부정,,
남이 귀찮아하도록,부정,,
남이 병들거나,부정,,
남이 잘못되는,부정,,
납치,부정,,
낫게 하다,긍정,,
낫다,긍정,,
낫지 아니하는,부정,,
낫지 아니하여,부정,,
낫지 않는,부정,,
낭만,긍정,,
낭만적인,긍정,,
낭비,부정,,
낭비 된,부정,,
낭비된,부정,,
낭비하다,부정,,
낭패,부정,,
낮아지거나,부정,,
낮은 성적,부정,,
낮은 지위의,부정,,
낮은 지혜라는,부정,,
낮이 없거나,부정,,
낮잡는,부정,,
낮잡는 뜻으로,부정,,
낮잡아,부정,,
낮잡아 이르는,부정,,
낮추어,부정,,
낮추어 보거나,부정,,
낮추어 보듯이,부정,,
낮추어 보아,부정,,
낮추어 이르는,부정,,
낯부끄럽다,부정,,
낯설다,부정,,
낯이 설거나,부정,,
낯이 없거나,부정,,
낯이 없다는,부정,,
낳지 못하는,부정,,
내거나 불평을,부정,,
내구성이 좋아,긍정,,
내놓기가 싫다,부정,,
내는 성,부정,,
내던져 버리다,부정,,
내던져 버림,부정,,
내려가지 아니하여,부정,,
내려오는 병이나,부정,,
내리눌리다,부정,,
내밀었다가 허탕이,부정,,
내버려지다,부정,,
내버리거나,부정,,
내부의 싸움,부정,,
내색 없이,긍정,,
내소외친하다,부정,,
내송,부정,,
내송하다,부정,,
내숭스럽고,부정,,
내숭스럽고 거칠다,부정,,
내용으로 익살스럽게,긍정,,
내용이 못마땅하거나,부정,,
내쫓기다,부정,,
내쫓김을 당하다,부정,,
내쫓는,부정,,
내쫓는 일,부정,,
내쫓다,부정,,
내쫓아,부정,,
내키지 아니하거나,부정,,
내키지 아니하여,부정,,
내키지 않게,부정,,
내키지 않는,부정,,
내키지 않다,부정,,
내키지 않아,부정,,
냉담하다,부정,,
냉담한,부정,,
냉랭하거나,부정,,
냉랭하고,부정,,
냉랭하며,부정,,
너그러운,긍정,,
너그러운 데가,긍정,,
너그러운 마음으로,긍정,,
너그러운 모양,긍정,,
너그러워,긍정,,
너그러워 보이는,긍정,,
너그러이,긍정,,
너그럽게,긍정,,
너그럽게 듣다,긍정,,
너그럽게 보다,긍정,,
너그럽게 용서하다,긍정,,
너그럽게 이해하다,긍정,,
너그럽고,긍정,,
너그럽고 부드러운,긍정,,
너그럽고 상냥하면서,긍정,,
너그럽다,긍정,,
너그럽지 못하고,부정,,
너그럽지 못하다,부정,,
너무 기쁘거나,긍정,,
너무 더디거나,부정,,
너무 볼품없이,부정,,
너무 쇠약해지거나,부정,,
너무 예민하거나,부정,,
너무 지나치거나,부정,,
너무하다,부정,,
너불거리며,부정,,
너불거리며 까부는,부정,,
너불거리며 까불다,부정,,
너저분하게,부정,,
너저분하다,부정,,
너저분하여,부정,,
너저분하여 보일,부정,,
너저분한,부정,,
너저분한 상태가,부정,,
너저분해,부정,,
너저분해 보일,부정,,
너절하게,부정,,
너절하다,부정,,
너절한,부정,,
너절한 상태,부정,,
너절한 상태이다,부정,,
너프,부정,,
넉넉잡아야 고작,부정,,
넉넉하거나,긍정,,
넉넉하거나 많다,긍정,,
넉넉하게,긍정,,
넉넉하고,긍정,,
넉넉하고 많은,긍정,,
넉넉하고 많음,긍정,,
넉넉하고 윤택하게,긍정,,
넉넉하고 푸지다,긍정,,
넉넉하다,긍정,,
넉넉하여,긍정,,
넉넉하여 만족하다,긍정,,
넉넉하여 만족함,긍정,,
넉넉하지 못하고,부정,,
넉넉하지 못하여,부정,,
넉넉하지 못함,부정,,
넉넉하지 아니함,부정,,
넉넉한,긍정,,
넉살 좋게,긍정,,
넋을 잃다,긍정,,
넌더리가,부정,,
넌더리가 날,부정,,
넌덕스러운,긍정,,
넌덕스러운 말로,긍정,,
넌씨눈,부정,,
널리 알려지다,긍정,,
널리 알려진,긍정,,
널리 전하여,긍정,,
넓고 시원스럽다,긍정,,
넓은 마음으로,긍정,,
넘기기 좋게,긍정,,
넘기지 못한다는,부정,,
넘사,긍정,,
넘사벽,긍정,,
넘어지거나,부정,,
넘어지거나 주저앉는,부정,,
넘어지는 병,부정,,
넘어지며,부정,,
넘어질,부정,,
넘어질 듯,부정,,
넘치게 굴다,부정,,
넘치는 기쁨,긍정,,
노는 꼬락서니,부정,,
노는 짓을,긍정,,
노답,부정,,
노략질하는,부정,,
노략질하는 짓을,부정,,
노략질함을,부정,,
노려보다,부정,,
노력이나,긍정,,
노력하는,긍정,,
노력하다,긍정,,
노련하고,긍정,,
노름,부정,,
노름꾼이,부정,,
노름을 하거나,부정,,
노름판을 벌여,부정,,
노린 냄새가,부정,,
노숙자,부정,,
노여운,부정,,
노여운 감정이,부정,,
노여움,부정,,
노여움 따위를,부정,,
노여움 따위의,부정,,
노여움을,부정,,
노여움을 나타내다,부정,,
노엽거나,부정,,
노엽거나 언짢은,부정,,
노예,부정,,
노인의 병,부정,,
노인정,부정,,
노잼,부정,,
노하여,부정,,
노하여 화증,부정,,
노한다,부정,,
노함,부정,,
노후되다,부정,,
녹이 심하게,부정,,
논리가 없이,부정,,
논리적,긍정,,
논리적인,긍정,,
놀기만 하는,부정,,
놀기만 하다,부정,,
놀다,긍정,,
놀라거나,부정,,
놀라거나 두려워서,부정,,
놀라거나 떪,부정,,
놀라거나 무서워,부정,,
놀라거나 불안하여,부정,,
놀라거나 슬퍼서,부정,,
놀라거나 아파서,부정,,
놀라거나 어색한,부정,,
놀라거나 피곤하거나,부정,,
놀라고,부정,,
놀랍거나 언짢아서,부정,,
놀랍다,긍정,,
놀려,부정,,
놀려 말하는,부정,,
놀려 말하다,부정,,
놀리거나,부정,,
놀리는,부정,,
놀리는 말투나,부정,,
놀리는 모양,부정,,
놀리는 짓을,부정,,
놀리는 태도가,부정,,
놀리는 태도로,부정,,
놀리다,부정,,
놀리다 비아냥대다,부정,,
놀릴,부정,,
놀릴 때,부정,,
놀림,부정,,
놀림 받다,부정,,
놀림과,부정,,
놀림받다,부정,,
놀림을,부정,,
놀림을 받게,부정,,
놀림조,부정,,
놀림조로,부정,,
놀림조로 이르는,부정,,
놀아나는,부정,,
놀아나는 짓,부정,,
농락하여,부정,,
농지거리를,부정,,
농지거리를 하다,부정,,
높거나,긍정,,
높거나 가치가,긍정,,
높고,긍정,,
높고 뛰어나다,긍정,,
높고 맑다,긍정,,
높고 빼어나게,긍정,,
높다,긍정,,
높여 부르는,긍정,,
높여 이르는,긍정,,
높은,긍정,,
높은 경지로,긍정,,
높은 경지에,긍정,,
높은 등급으로,긍정,,
높은 성적,긍정,,
높은 수준에,긍정,,
높은 작위,긍정,,
높이 받들다,긍정,,
높이 받듦,긍정,,
높이 평가하거나,긍정,,
높이 평가하다,긍정,,
높이다,긍정,,
놓쳐,부정,,
놓쳐 헤어지게,부정,,
놓치다,부정,,
뇌물을,부정,,
뇌물의,부정,,
뇌물의 성격을,부정,,
뇌성 마비에서,부정,,
뇌의 장애로,부정,,
뇌종양,부정,,
뇌진탕,부정,,
뇌출혈,부정,,
뇌타박상,부정,,
누그러지거나 부드러운,긍정,,
누그러지거나 부드럽다,긍정,,
누그럽거나 부드러운,긍정,,
누그럽거나 부드럽다,긍정,,
누르기 어려워하다,부정,,
누리게 하다,긍정,,
눈곱이나,부정,,
눈꼴 사납게,부정,,
눈꼴사납게,부정,,
눈꼴사납고,부정,,
눈꼴사납다,부정,,
눈뜬장님,부정,,
눈매가 또렷하다,긍정,,
눈매가 뚜렷하다,긍정,,
눈물,부정,,
눈물겹다,부정,,
눈물을 흘리다,부정,,
눈물을 흘리며,부정,,
눈물이,부정,,
눈물이 나며,부정,,
눈물이 넘칠듯이,부정,,
눈물이 많이,부정,,
눈물이 좔좔,부정,,
눈빛이 반짝이다,긍정,,
눈새,부정,,
눈알을 경망스럽게,부정,,
눈알이 우묵해지다,부정,,
눈앞에 생생하게,긍정,,
눈앞에서 귀찮게,부정,,
눈에 거슬려,부정,,
눈에 거슬리는,부정,,
눈에 거슬리다,부정,,
눈에 눈물이,부정,,
눈에 뛸,긍정,,
눈을 멋없이,부정,,
눈을 속여,부정,,
눈을 속임,부정,,
눈을 즐겁게,긍정,,
눈이 가렵고,부정,,
눈이 깔깔하거나,부정,,
눈이 부시어,긍정,,
눈이 좀스럽게,부정,,
눈이 풀려서,부정,,
눈치가 빠르거나,긍정,,
눈치를,부정,,
눈치를 보며,부정,,
눌러 없애다,부정,,
눌려 졸아들고,부정,,
뉘우치고,긍정,,
뉘우치고 고침,긍정,,
뉘우치고 바로잡아,긍정,,
뉘우치다,중립,,
뉘우치지 못함을,부정,,
뉘우침,중립,,
뉘우침이 없음,부정,,
느개비,부정,,
느글거리는,부정,,
느글거리는 모양,부정,,
느글거리다,부정,,
느글대다,부정,,
느금마,부정,,
느끼는 감동이나,긍정,,
느끼는 고통,부정,,
느끼지 못하는,부정,,
느끼하다,부정,,
느끼해지는 모양,부정,,
느끼해지다,부정,,
느낌이 깨끗하고,긍정,,
느낌이 부드럽게,긍정,,
느낌이 시원하고,긍정,,
느리고 굼뜨다,부정,,
느리다,부정,,
느릿느릿,부정,,
느릿느릿 굼뜨게,부정,,
느릿느릿 행동하는,부정,,
느릿느릿 힘없는,부정,,
느물거려,부정,,
느물거리는,부정,,
느물거리는 모양,부정,,
느즈러져,부정,,
늘 병치레를,부정,,
늘 소중하게,긍정,,
늘 앓거나,부정,,
늘씬한,긍정,,
늘씬한 모양,긍정,,
늘어나다,부정,,
늙거나,부정,,
늙어 빠진,부정,,
늙어서,부정,,
늙은이를 낮잡아,부정,,
능글능글하다,부정,,
능글능글한,긍정,,
능글능글한 모양,긍정,,
능글맞게 하다,긍정,,
능글맞고,부정,,
능란하게,긍정,,
능력,긍정,,
능력을 믿고,긍정,,
능력이 뛰어나,긍정,,
능력이 뛰어나다,긍정,,
능력이 뛰어나다고,긍정,,
능력이 없는,부정,,
능력이 없다,부정,,
능력이 없어지다,부정,,
능력이 없이,부정,,
능력이 있다,긍정,,
능률이 나다,긍정,,
능수능간,긍정,,
능수능란,긍정,,
능숙하게,긍정,,
능숙하게 다루다,긍정,,
능숙하게 처리하다,긍정,,
능청맞고,부정,,
능청맞고 수선스럽게,부정,,
능청스러운,부정,,
능청스러운 짓을,부정,,
능청스럽게,중립,,
능청스럽게 구는,부정,,
능청스럽게 굴다,중립,,
능청스럽고,부정,,
능청스럽고 음흉한,부정,,
능청을,부정,,
능청을 부리며,부정,,
능통한,긍정,,
능통한 재주,긍정,,
능하고,긍정,,
능하다,긍정,,
능히,긍정,,
능히 처리하다,긍정,,
능히 해내거나,긍정,,
늦다,부정,,
늦어지는,부정,,
늦어지는 모양,부정,,
늦어지다,부정,,
ㄷㅊ,부정,,
다 까칠하거나,부정,,
다 없애,부정,,
다 좋도록,긍정,,
다 탐스럽게,긍정,,
다그치다,부정,,
다그치며 몰아세우다,부정,,
다급하게,부정,,
다급하여,부정,,
다독거리다,긍정,,
다독다독,긍정,,
다독다독하다,긍정,,
다듬어지지 않은,부정,,
다랍게,부정,,
다랍게 아첨을,부정,,
다루기가 거북하고,부정,,
다루기에 손쉽게,긍정,,
다리가 무겁고,부정,,
다리가 약해져서,부정,,
다리가 잘못되어,부정,,
다리를 잘망스럽게,부정,,
다리를 절다,부정,,
다리를 절며,부정,,
다리를 절면서,부정,,
다부지게 하지 못하고,부정,,
다부지지 못하고,부정,,
다부지지 못하여,부정,,
다소 건방지게,부정,,
다소 비굴하게,부정,,
다소 엉뚱하게,부정,,
다시 살아나거나,긍정,,
다시 성해지다,긍정,,
다시 친숙해지다,긍정,,
다시 평안하다,긍정,,
다양하다,긍정,,
다정하고,긍정,,
다정하고 친절하게,긍정,,
다정하고 친절하다,긍정,,
다정하다,긍정,,
다정하지 않고,부정,,
다채롭다,긍정,,
다치거나,부정,,
다치거나 맞거나,부정,,
다치거나 하여,부정,,
다치게 하다,부정,,
다치게 함,부정,,
다치게 함으로써,부정,,
다치다,부정,,
다친 데나,부정,,
다친다는,부정,,
다친다는 뜻으로,부정,,
다침,부정,,
다투거나,부정,,
다투거나 우기다,부정,,
다투는,부정,,
다투는 것을,부정,,
다투는 모양,부정,,
다투는 소리,부정,,
다투다,부정,,
다툼을,부정,,
다하여 싸우다,긍정,,
다하여 없다,부정,,
다행스럽다,긍정,,
닥쳐오다,부정,,
닦달하거나,부정,,
단념할,부정,,
단념할 수밖에,부정,,
단단하게,긍정,,
단단하고,긍정,,
단단하고 굳세거나,긍정,,
단단하고 굳세다,긍정,,
단단히 가다듬다,긍정,,
단단히 꾸짖어,부정,,
단련되고,긍정,,
단련되고 굳세어지다,긍정,,
단련되다,긍정,,
단번에 빼앗다,부정,,
단아하게,긍정,,
단아하게 건정히,긍정,,
단작스럽게,부정,,
단정하게,긍정,,
단정하게 차린,긍정,,
단정하게 포개다,긍정,,
단정하다,긍정,,
단정하지 못하고,부정,,
단정하지 못하며,부정,,
단정하지 못한,부정,,
단출하게,긍정,,
달갑지 아니하거나,부정,,
달갑지 아니하게,부정,,
달갑지 아니하여,부정,,
달갑지 아니하여서,부정,,
달갑지 아니한,부정,,
달갑지 아니한 태도를,부정,,
달갑지 않거나,부정,,
달갑지 않다,부정,,
달갑지 않은,부정,,
달갑지 않은 음식을,부정,,
달거나,긍정,,
달거나 달콤하다,긍정,,
달달하다,긍정,,
달뜬,긍정,,
달뜬 느낌,긍정,,
달뜬 상태이다,긍정,,
달뜸,긍정,,
달래는 모양,긍정,,
달래다,긍정,,
달래어 편하게,긍정,,
달성감,긍정,,
달성하다,긍정,,
달성한,긍정,,
달아남,부정,,
달콤하고,긍정,,
달콤하고 정다운,긍정,,
달콤하다,긍정,,
달콤한,긍정,,
달콤한 느낌,긍정,,
달콤한 말,긍정,,
닳아,부정,,
담력과 지혜를,긍정,,
담력이 약함을,부정,,
답답하거나,부정,,
답답하게,부정,,
답답하게 여기다,부정,,
답답하고,부정,,
답답하고 갑갑한,부정,,
답답하고 분한,부정,,
답답하고 분함,부정,,
답답하고 안타깝게,부정,,
답답하다,부정,,
답답하며,부정,,
답답하여,부정,,
답답하여 활기가,부정,,
답답하여진다,부정,,
답답한,부정,,
답답한 데,부정,,
답답한 마음이,부정,,
답답한 모양,부정,,
답답한 상태에서,부정,,
답답한 증상,부정,,
답답한 증세,부정,,
답답할,부정,,
답답할 때,부정,,
답답할 정도로,부정,,
답답함,부정,,
답답해진다,부정,,
당당하게,긍정,,
당당하게 말하다,긍정,,
당당하고,긍정,,
당당하고 떳떳하게,긍정,,
당당하다,긍정,,
당차지 못하고,부정,,
당찮다,부정,,
당하거나 배척되다,부정,,
당하다,부정,,
당하였던,부정,,
당하였던 일이,부정,,
당한 것을,부정,,
당한 고통을,부정,,
당황하다,부정,,
당황하여,부정,,
당황한,부정,,
당황해하는,부정,,
당황해하는 모양,부정,,
당황해하다,부정,,
대가,긍정,,
대가 없이 내놓다,긍정,,
대강 하고,부정,,
대강대강,부정,,
대강대강 아무렇게나,부정,,
대견하고,긍정,,
대구하는 짓을,부정,,
대꾸하는,부정,,
대단치 아니하거나,부정,,
대단치 않은,부정,,
대단하거나,긍정,,
대단하거나 강하다,긍정,,
대단하고,긍정,,
대단하고 극진하게,긍정,,
대단하고 극진하다,긍정,,
대단하고 극진한,긍정,,
대단하다,긍정,,
대단한,긍정,,
대단한 상태에,긍정,,
대단히 괜찮음,긍정,,
대담하고,긍정,,
대담하고 시원스럽게,긍정,,
대담하지 못하고,부정,,
대드는 짓,부정,,
대들다,부정,,
대립으로,부정,,
대립하는,부정,,
대립하는 관계에,부정,,
대상,긍정,,
대상을 무서워하여,부정,,
대상을 아끼고,긍정,,
대상을 위협하기,부정,,
대상이 시원스럽도록,긍정,,
대수롭지 아니하거나,부정,,
대수롭지 아니하고,부정,,
대수롭지 아니하다,부정,,
대수롭지 아니한,부정,,
대열을 깨끗이,긍정,,
대접,긍정,,
대접하기,긍정,,
대접하는,긍정,,
대접하는 일,긍정,,
대접함,긍정,,
대중없이,부정,,
대중없이 날뛰는,부정,,
대중이 없다,부정,,
대책이 없이,부정,,
대충 하고,부정,,
대충대충,부정,,
대충대충 일을,부정,,
대충대충 하는,부정,,
대충대충 하다,부정,,
대충하다,부정,,
대할 만하게,긍정,,
대할 만하다,긍정,,
더 강하게,긍정,,
더 강하고,긍정,,
더 높거나,긍정,,
더 높은,긍정,,
더 좋게,긍정,,
더 필요한,중립,,
더들다,중립,,
더듬는,중립,,
더듬는 모양,중립,,
더디거나,부정,,
더디거나 지루하여,부정,,
더디다,부정,,
더딘,부정,,
더딘 모양,부정,,
더러운,부정,,
더러운 데가,부정,,
더러운 도랑이라는,부정,,
더러운 때에,부정,,
더러운 모양,부정,,
더러운 무리,부정,,
더러운 점,부정,,
더러움,부정,,
더러움을 씻고,긍정,,
더러워,부정,,
더러워져서,부정,,
더러워지거나,부정,,
더러워지다,부정,,
더러워진,부정,,
더러워진 상태,부정,,
더러워진 옷,부정,,
더럽게,부정,,
더럽게 꼴로,부정,,
더럽게 생각하고,부정,,
더럽게 아첨을,부정,,
더럽게 여겨져,부정,,
더럽고,부정,,
더럽고 궁상스러운,부정,,
더럽고 치사하여,부정,,
더럽다,부정,,
더럽혀서,부정,,
더럽혀서 쓰지,부정,,
더럽혀진,부정,,
더럽혀진 물,부정,,
더럽히는,부정,,
더럽히는 일을,부정,,
더럽히는 짓을,부정,,
더럽히다,부정,,
더부룩이,부정,,
더부룩하고,부정,,
더부룩하다,부정,,
더부룩하면서,부정,,
더부룩하여,부정,,
더없이,긍정,,
더없이 뛰어난,긍정,,
더욱 든든하고,긍정,,
더욱 심해지는,부정,,
더위를 먹어서,부정,,
더위에 괴로워하는,부정,,
더하다,긍정,,
더할 나위 없이,긍정,,
더할 나위 없이 맑고,긍정,,
더할 나위 없이 좋음,긍정,,
더할 바 없이,긍정,,
더할 수 없이,긍정,,
덕,긍정,,
덕망을 갖춘,긍정,,
덕망이 높고,긍정,,
덕망이 높은,긍정,,
덕망이 뛰어난,긍정,,
덕을,긍정,,
덕을 보다,긍정,,
덕을 봄,긍정,,
덕을 찬미한,긍정,,
덕이 넓어,긍정,,
덕이 높고,긍정,,
덕이 있는,긍정,,
덕이 훌륭하고,긍정,,
덕이라는,긍정,,
덕행을,긍정,,
덕행을 닦는,긍정,,
덕행이,긍정,,
덕행이 높고,긍정,,
덕행이 뛰어나,긍정,,
덜렁거리며,부정,,
덜렁거리며 돌아다니는,부정,,
덤벼들어,부정,,
덤비거나,부정,,
덤비는 짓을,부정,,
덤비다,부정,,
덥거나,부정,,
덥다,부정,,
덧나다,부정,,
덩이가 볼품없이,부정,,
덮어 주다,중립,,
데 적합하다,긍정,,
데면데면하게,부정,,
데면데면하다,부정,,
데면데면함,부정,,
도덕적,긍정,,
도덕적 기준에,긍정,,
도도하게,중립,,
도도하게 행동하다,중립,,
도둑,부정,,
도둑을 맞은,부정,,
도둑질하다,부정,,
도둑질한,부정,,
도리,긍정,,
도리가 없다,부정,,
도리가 없이,부정,,
도리를 깨닫는,긍정,,
도리어 말대답을,부정,,
도리에 어그러지고,부정,,
도리에 어긋남에도,부정,,
도망하는,부정,,
도망하는 짓,부정,,
